CORSO DI STUDI,PAROLE CHIAVE - IT
INGEGNERIA EDILE - ARCHITETTURA,pavillion; Italian pavillion; Expo; Milan; Expo 2015; cardo; temporary; feed the planet
ENVIRONMENTAL AND GEOMATIC ENGINEERING,landslide; monitoring; u-blox; static
INGEGNERIA EDILE - ARCHITETTURA,building recovery; prefabrication
INGEGNERIA EDILE - ARCHITETTURA,American fort; refurbishment; conservation plan; nautical school
INGEGNERIA GESTIONALE,consignment stock; supply chain management; suppliers; safety stock
INGEGNERIA MECCANICA,"flexible manipulator; integral manifold approach; composite control technique;
inverse model technique; model based control; PID tuning"
INGEGNERIA INFORMATICA,Android mobile application; mobile sensors data; mobile data logger; city 3D map; image geo-localization; image best matching
INGEGNERIA EDILE - ARCHITETTURA,Valmadrera; ParÃ¨; lake; waterfront; requalification; windsurf; budget hotel; pool; textile architecture; ETFE
CIVIL ENGINEERING FOR RISK MITIGATION,tomography; ultrasonic pulse velocity; refraction; NDTS (non destructive techniques); DTS (destructive techniques)
INGEGNERIA INFORMATICA,resonance modes; FFT; psychoacoustics; standing waves; small rooms; physical acoustics; environments; low frequencies
INGEGNERIA GESTIONALE,green marketing; sustainability; green products; green consumers; environmental awareness
ARCHITETTURA,capsule home
INGEGNERIA GESTIONALE,Kanban; lean manufacturing
ARCHITETTURA,Cairo; design; Azbakiyya; architectural identity
INGEGNERIA INFORMATICA,SLAM; loop detection; image classification; detectors; descriptors; bag of words; loop closure implementation; Angeli; RTAB-MAP; Dorian Galvez
INGEGNERIA GESTIONALE,key performance indicators; performance measurement systems; transfer prices; employee's motivation; effectiveness; management accounting; management control systems
INGEGNERIA MECCANICA,homogenization; optimization; corrugated; neural network
ARCHITETTURA,memory; ancient; contemporary; restructuration; city; Mantua; Politecnico; university; culture
INGEGNERIA GESTIONALE,long term planning; family business; management control system; information system; participatory action research; urgency management
INGEGNERIA GESTIONALE,supply chain finance; financial pressure; automotive aftermarket; Rhiag; auto parts dealers; factoring; reverse factoring; cash-to-cash cycle; creditworthiness; information gap
INGEGNERIA EDILE - ARCHITETTURA,diffused tourism; Tremezzina; urban design; requalification; landscape; sports centre; wellness; sustainability; natural light; pool
INGEGNERIA MECCANICA,optical sensor; catenary pantograph interaction; current collection; electric arc
INGEGNERIA MECCANICA,CFD; inertial filter; Mars; MicroMed; two phase flow
INGEGNERIA GESTIONALE,productivity; ICT investment; digital technology; value added; labour productivity; EU
ARCHITETTURA,modular case; prefabricated; estimated cost
ARCHITETTURA,"The RotÃ ri-Cartolari villa; Verona's villas; Fifteenth century villas; Forgotten mansion; Construction phases of Verona's villas; Development of the structure of the villas, Typology of the settlement system of the villa; Historical-archival research; Archival documents"
INGEGNERIA EDILE - ARCHITETTURA,smart; eco building; solar energy; scheme design; Covenant of mayors
INGEGNERIA INFORMATICA,volunteer computing; grid computing; OpenStack; MAAS
INGEGNERIA MECCANICA,rotary cutting machine; modal analysis; vibration analysis
INGEGNERIA GESTIONALE,open innovation; degree of openness; outbound open innovation; regional policies
INGEGNERIA GESTIONALE,business process management; logistics; distribution; Waterfall model
ARCHITETTURA,PLIS; parks; ecological network; protected areas; connection; environmental improvement; Castiglione delle Stiviere; Solferino; Medole; coordination; wide area; sustainable use
INGEGNERIA MECCANICA,FEM; impact; receptacle; ROV; strain rate; valve
INGEGNERIA GESTIONALE,TQM; sustainable development; quality control; SPC; case study; plastic; lucky plastic industry
ARCHITETTURA,Valpolicella; Verona; UNESCO; cultural landscape; tradition; wine; viticulture; Amarone; marogne
INGEGNERIA GESTIONALE,social media; social media marketing; brand awareness; purchase intention
INGEGNERIA GESTIONALE,business model; strategic governance; case study; management; manufacturing
ARCHITETTURA,palimpsest; urban plan; Le Havre
INGEGNERIA MECCANICA,oil valve; production process; lead time; test; planning; IDEF0
ARCHITETTURA,lighting design; landscape; over-cladding
INGEGNERIA GESTIONALE,CRM; strategy; framework; implementation; customer
INGEGNERIA GESTIONALE,finishing materials; platform; suppliers; architects; designers; user
CIVIL ENGINEERING FOR RISK MITIGATION,bridge piers; local scour; temporal evolution; scour prediction
ARCHITETTURA,environment; strategic environmental assessment
ARCHITETTURA,Uganda; church
INGEGNERIA GESTIONALE,luxury; fashion; replenishment strategy; supply chain
ARCHITETTURA,simulation dynamics; energyPlus; bestenergy
INGEGNERIA GESTIONALE,customer centricity; financial services; insurance; NPS
INGEGNERIA GESTIONALE,business model; strategic performance measurement; balanced scorecard
ARCHITETTURA,Palazzo CiviltÃ  Italiana; Rome; EUR; Expo; refurbishment; sustainable
INGEGNERIA MECCANICA,Linear Delta; Agile Eye; spherical wrist ; combined robot; 2k factorial design; Monte carlo simulations; kinematical modelling; end effector; positioning; anova; minitab software; tilting error; two level design
INGEGNERIA INFORMATICA,HRTF; adaptation; training; individualization; non-individualized HRTF; interface
INGEGNERIA GESTIONALE,CRM; customer relationship management; customer; Ducati; IT; customer satisfaction; customer loyalty
INGEGNERIA GESTIONALE,business processes management; BPM; organizational structure; organization chart
INGEGNERIA EDILE - ARCHITETTURA,refurbishment; new functions; sports center; sustainability; pool; Pratogrande
INGEGNERIA MECCANICA,thermal fatigue; tool steels; hot work steels; AISI H13; AISI P20
INGEGNERIA MECCANICA,finite element method; FEM; cold forming; wire drawing; strain hardening; mechanical properties; tensile test; metallographic test; allen key
INGEGNERIA GESTIONALE,multichannel; brand experience; content strategy; automotive industry
ARCHITETTURA,container; house; reuse; social housing; projects; cost; critical reflections
INGEGNERIA MECCANICA,brake discs; Brembo; martensitic stainless steel; modified AISI 410
ARCHITETTURA,railway system; Lebanon; urban
ARCHITETTURA,preservation; restoration; reconstruction; fortress; Haiti; authenticity
ARCHITETTURA,building; energy; simulation; massive; wall; monitoring; software
INGEGNERIA MECCANICA,Majis; imaging spectrometer; juice; Ganymede; mechanical design
INGEGNERIA MECCANICA,brushless motors; syncronous motors; energy losses; weakening; PWM; permanent magnets; energy modeling
INGEGNERIA MECCANICA,run-out; moving average; eccentricity
INGEGNERIA DEI SISTEMI EDILIZI,sustainable urbanization; complex adaptibility
INGEGNERIA INFORMATICA,formal software verification; model checking; deductive verification; requirements; incremental; deductive proof; deductive system
DESIGN DELLA COMUNICAZIONE,wayfinding; signage; hospital; information
DESIGN & ENGINEERING,coffee; espresso machine; barman; framework
DESIGN & ENGINEERING,jewel; gold market; titanium; niobium; tantalum; zirconium; anodic oxidation; interference color; color measure; oxide thickness; wearing agents; tribological test; wear test; re-coloring
INGEGNERIA ELETTRICA,seawater pumped hydroelectric storage; electrical storage technology; technical feasibility; economic feasibility; renewable energy sources integration
INGEGNERIA MECCANICA,structural health monitoring; autoregressive models; uncertainty analysis; global sensitivity analysis; Mahalanobis distance; noise propagation; statistical pattern recognition
INGEGNERIA DELL'AUTOMAZIONE,MEMS; wireless; accelerometer; inclinometer; shaker
INGEGNERIA MECCANICA,handling; K&C; vehicle suspensions; steering system
INGEGNERIA INFORMATICA,Kinect; JIA; exergames; rehabilitation
PRODUCT SERVICE SYSTEM DESIGN,design studio; entrepreneurship
INGEGNERIA BIOMEDICA,nutrigenomics; engineering; biomedical; informatics; mobile; mHealth; modelling
INGEGNERIA MECCANICA,deep groove roller bearing; hertzian contact; modeling; eigenfrequencies; BPFO
INGEGNERIA INFORMATICA,artificial intelligence; genetic algorithms; Tetris
INGEGNERIA GESTIONALE,financial liberalization; banking crises
PRODUCT SERVICE SYSTEM DESIGN,job; job search; job market
MATERIALS ENGINEERING AND NANOTECHNOLOGY,hydrogen; water splitting; titanium dioxide; photoelectrochemical cell
INGEGNERIA BIOMEDICA,DOC; diagnosis; mental state; fMRI; MVPA; toolbox
INGEGNERIA GESTIONALE,energy storage systems; PHS; CAES; investment appraisal; real options
ARCHITETTURA,Red River; secondary dyke; green belt; rebuild; market
INGEGNERIA ELETTRICA,dc circuit breaker; over-current discrimination; snubber; IGBT; distribution grid
INGEGNERIA ELETTRONICA,magnetometer; AMR; characterization; reliability; setup
GESTIONE DEL COSTRUITO,leasing; global service
INGEGNERIA GESTIONALE,organizational structure; hierarchy; vertical span; delayering; flattering
DESIGN DELLA COMUNICAZIONE,cinema; music; audiovisual; subsidy; classical music
GESTIONE DEL COSTRUITO,outsourcing; facility management; change management; sale of business branch
INGEGNERIA INFORMATICA,evolutionary games; fixation; imitation; invasion; Moran process; pairwise comparison; Markov chains; strong selection
INGEGNERIA BIOMEDICA,transfection; polymers; DNA; IR; DLS
INGEGNERIA CIVILE - CIVIL ENGINEERING,permeability; rock mechanics; fractures
INGEGNERIA MECCANICA,turbocharged engine; Gasdyn; controller; boost pressure; numerical modelling; monodimensional simulation
INGEGNERIA CHIMICA,LNG; CFD; fan; gas dispersion
INGEGNERIA INFORMATICA,robot; autonomous navigation; trajectory planning; search-based algorithms
INGEGNERIA AERONAUTICA,CFD; air intake; helicopter; ATHENAI project; Clean Sky program
INGEGNERIA GESTIONALE,process analysis; reorganization of activities; samples; continuous improvement
INGEGNERIA CIVILE - CIVIL ENGINEERING,air transport; low cost; air companies; low fares
INGEGNERIA CIVILE,geotechnical engineering; slope; landslide; viscosity; piles; structure; finite element; MEF
INGEGNERIA BIOMEDICA,lipids; lipoplexes; gene delivery; gene therapy; non-viral vectors
INGEGNERIA INFORMATICA,muscle synergy;computational investigation;redundancy;nonlinearity;muscle redundancy;biomechanical factors;kinematic chain;muscle activation
INGEGNERIA CHIMICA,process simulation; process engineering; miniplant; catalytic reactor; dynamic simulation; organosulfur compounds; parameter estimation; experimental design
INGEGNERIA DELL'AUTOMAZIONE,cascade systems; large scale systems; model predictive control; irrigation channel
INGEGNERIA AERONAUTICA,nAl; AlB12; EEW; SHS; solid; hybrid; clustering; coating; characterization; reactivity
INGEGNERIA INFORMATICA,business intelligence; human resources; decision making; data warehouse; ETL; data integration; reporting
INGEGNERIA INFORMATICA,multimedia platform; motorbikes; racing; automotive
PRODUCT SERVICE SYSTEM DESIGN,allergy; intolerance; nutrition; gluten; food; health; restaurant; pleasure; enjoyment; delivery
INGEGNERIA ELETTRONICA,laser; optics; interferometry; planarity; self-mixing
INGEGNERIA DELLA PREVENZIONE E DELLA SICUREZZA NELL'INDUSTRIA DI PROCESSO,fiber; asbestos; settling velocity
INGEGNERIA DELL'AUTOMAZIONE,control; scheduling; NCS; networked systems; switched systems
INGEGNERIA BIOMEDICA,pulse oximeter; reflectance sensor; PSoC; oxygen saturation; ring
INGEGNERIA FISICA,coherent Raman spectroscopy; vibrational spectroscopy; ottica ultraveloce
INGEGNERIA ENERGETICA,liquid metals; CFD; turbulent convection; conjugate heat transfer; pipe flow; solar receiver; non-uniform heat flux
INGEGNERIA AERONAUTICA,hole drilling; strain gauge; digital image correlation; residual stress; displacement; strain
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,geo-dataviz; interactivity; social specialization; tableau
INGEGNERIA NUCLEARE,silicon photomultiplier; PET; SPECT; MRI; GAGG:Ce; resistor chain network; gamma camera for radiosurgery
INGEGNERIA INFORMATICA,gmql; gdm; bioinformatics; gene; Apache; Flink
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,wave propagation; 3D ground motion simulation; 1915 Marsica earthquake; near-field; basin effects; high performance computing; spectral element methods
INGEGNERIA GESTIONALE,actuators; business process; check up; work order management; PMI
INGEGNERIA GESTIONALE,new Keynesian Phillips curve; trend inflation; price stickiness; DSGE; Calvo
INGEGNERIA DELLE TELECOMUNICAZIONI,network; Internet; fiber; optical; bandwidth; category; traffic; dropbox; online; gaming; user; behavior; access; packet; inspection
INGEGNERIA DEI SISTEMI EDILIZI,BIM; building information modeling; level of detail; level of information; level of model definition; level of development
INGEGNERIA MECCANICA,alpine skiing; improvement of performance and security of the skis; numerical model of the skier-skis system; new solution with additional retractile blade; construction of a prototype
INGEGNERIA BIOMEDICA,drug release; hydrogel; PLGA; alginate; nanoparticles
INGEGNERIA NUCLEARE,direct contact condensation; chugging; BWR; pressure suppression pool
INGEGNERIA BIOMEDICA,laser micro-polishing; stainless steel; AISI 304; bacterial adhesion; cleanability; roughness; wettability
INGEGNERIA ENERGETICA,transesterification; anaerobic digestion; fatty acid methyl ester; life cycle assessment; CO2 equivalent
INGEGNERIA ENERGETICA,desalination; renewable energy; sea water; Peru; photovoltaic; solar; reverse osmosis
INGEGNERIA BIOMEDICA,PEEP; mechanical ventilation; HFOV; FOT; optimization; PEEP optimization
INGEGNERIA DEI SISTEMI EDILIZI,UNI 11337-5:2016; UNI/CT 033/GL 05; building information modelling; BIM level 2; collaborative working environment; digital information flows; informational specification; offer for the informational management; plan for the informational management; information manager; information coordinator; information modeler
INGEGNERIA ENERGETICA,VAWT; DMS; vertical axis wind turbine; H-Darrieus; small wind; variable pitch
INGEGNERIA BIOMEDICA,micromechanics; crystal plasticity FEM; nanoindentation; EBSD analysis
INGEGNERIA ELETTRONICA,MEMS; Lorentz; triaxial magnetometer; multiloop; off-resonance; offset compensation; temperature drift
INGEGNERIA MATEMATICA,local stochastic volatility model; implied volatility dynamics; implied volatility; local volatility; stochastic volatility; Heston; lognormal volatility; hyperbolic volatility; path-dependent volatility; fundamental transform; particle method; mixing factor
INGEGNERIA ELETTRICA,MPPT; algorithms; photovoltaic panel; comparison
INGEGNERIA ENERGETICA,"CFD; OpenFOAM; ICEM; DLRM; coldTopoEngineFoam; topological
changes; dynamic mesh;"
INGEGNERIA AERONAUTICA,sensitivity analysis; wind energy; blade optimization; free form approach; aero-structural analysis; multi-disciplinary optimization
INGEGNERIA SPAZIALE,hazard detection; autonomous landing; artificial neural networks; experimental facility
GESTIONE DEL COSTRUITO,public-private partnership; project financing; UNI/TS 11453; highway infrastructure
INGEGNERIA CHIMICA,emissions; landfill gas; landfill; sampling
INGEGNERIA ENERGETICA,IT-SOFC; cathode; layered perovskite; electrochemical impedance spectroscopy; NBC
INGEGNERIA MECCANICA,vortex induced vibration; aeroelastic model; control of vibrations; active control; dumping; piezoelectric actuator
INGEGNERIA FISICA,high pressure magnetic resonant inelastic X-ray scattering; magnetic excitations; energy resolution; X-ray monochromator; X-ray spectrometer
DESIGN DELLA COMUNICAZIONE,Chinese traditional crafts; nonprofit organization; brand
INGEGNERIA FISICA,nanoresonator; nano optics; spontaneous emission; enhancement; germanium
DESIGN DEL PRODOTTO PER L'INNOVAZIONE,waste; environmental sustainability; rubbish; ecology; citrus fruitsâ€™ waste; by-products; essential oil
INGEGNERIA ENERGETICA,CFD; direct numerical simulation; multi-phase flows; interface capturing; level set method
INGEGNERIA ENERGETICA,"sliding vanes compressor, inclined vanes; vanes; experimental analysis of a sliding vanes compressor; numerical analysis of a sliding vanes compressor; experimental analysis"
INGEGNERIA ENERGETICA,SOFC; syngas; modeling; EIS
INGEGNERIA FISICA,highly doped germanium; plasmonics; mid-infrared
INGEGNERIA BIOMEDICA,gait analysis; Down syndrome; predictive biomarkers; Alzheimer's disease
INGEGNERIA DELL'AUTOMAZIONE,computer vision; 3D; time of flight camera; Kinect V2; point cloud; metrological qualification; neurorehabilitation; human motion analysis
INGEGNERIA AERONAUTICA,wind turbine; scaled model; control; C; real time: Bachmann; Simulink; wind tunnel; test bench; state machine; wake; partialization
INGEGNERIA CIVILE - CIVIL ENGINEERING,ground penetrating radar; linear targets; polarization analysis; multicomponent GPR; GPR; Azimuth; target
INGEGNERIA DELLE TELECOMUNICAZIONI,process design kits; generic foundry approach; circuital simulator; statistical analysis; models
INGEGNERIA FISICA,integrated optics; silicon photonics; quantum optics; quantum information; entanglement distribution
DESIGN DELLA COMUNICAZIONE,religion; Taoism; Buddhism in China; Islam in China; christianity in China; interview of the Chinese
GESTIONE DEL COSTRUITO,global service; planned preventive maintenance; building maintenance real estate portfolio; scheduled maintenance
INGEGNERIA FISICA,inelastic X-ray scattering; thermal diffuse scattering; IXS; TDS; lattice dynamics; phonons; vanadium dioxide; VO2; metal insulator transition; MIT; electron phonon interactions; lattice instability; Peierls transition
INGEGNERIA MECCANICA,aluminum; CFRP; Lamb waves; structural health monitoring; identification; reliability; probability of detection; POD
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,earthquake groundmotion; response analysis; spectrum matching
DESIGN PER IL SISTEMA MODA,leather; tanning; accessory; jewel; bag; IDEM bags; Tramontano
INGEGNERIA DELLE TELECOMUNICAZIONI,visible light communications simulator; optical channel; indoor measurements
INGEGNERIA MECCANICA,MAJIS; JUICE; spacecraft; imaging spectrometer; mechanical design; optimization; passive radiator; honeycomb sandwich; thermal conductivity; thermal resistance
INGEGNERIA MECCANICA,tilting pad bearings; TPJB; active vibration control; hydrodynamic lubrication; sliding mode; rotor dynamics
INGEGNERIA ENERGETICA,water-to-water heat pump; monitoring; steady state model
INGEGNERIA CHIMICA,"allylic oxidation; [1,3]-oxidative transposition of tertiary allylic alcohols; TEMPO; Laccase"
INGEGNERIA MECCANICA,shape memory alloys; actuator; valve; solenoid valve; design; test
INGEGNERIA MECCANICA,biomimetics; bone structure; osteon; composite material; composite material manufacturing; resin transfer molding; material test; fracture toughness; carbon nanotubes; microscopy
INGEGNERIA INFORMATICA,noc; power performance; leakage power; power gating; multi-cores; static power
INGEGNERIA DEI SISTEMI EDILIZI,construction site design; BIM; information
INGEGNERIA INFORMATICA,malware; security; behavioral model; behavior
INGEGNERIA ELETTRONICA,magnetic sensors; AMR sensors; demagnetizing factors; AMR model
INGEGNERIA AERONAUTICA,fluid-structure interaction; linear stability; structural sensitivity; Navier-Stokes equations
INGEGNERIA BIOMEDICA,high tibial osteotomy; bone graft; experimental analysis
INGEGNERIA BIOMEDICA,mitral; valve; mechanical; bileaflet; LDV; FSI; hemolysis; fluid dynamics
INGEGNERIA GESTIONALE,enterprise risk management; property company; real estate
INGEGNERIA SPAZIALE,morphing; chiral; corrugated; carbon; static tests; finite elements; airfoil
INGEGNERIA CHIMICA,thermoresponsive polymers; lower critical solution temperature; LCST; self-assembly; polymeric micelles; block copolymers; drug delivery
PRODUCT SERVICE SYSTEM DESIGN,wine; promotion; China; Made in Italy; country of origin effect; territorial branding; consumers' education; tailored communication system
INGEGNERIA DELLE TELECOMUNICAZIONI,optical communications; DMT; SSB; chromatic dispersion; direct detection; Mach-Zehnder modulator; EDFA; SOA; Levin-Campello; 100G; 80 km; SSMF; SSBI compensation
INGEGNERIA NUCLEARE,steady state hybrid; DIII-D; thermonuclear fusion; resistive wall mode; tokamak; plasma scenarios; MHD equilibrium; MHD stability; drift-kinetic model
INGEGNERIA FISICA,attosecond pulses; charge migration; biomolecules
INGEGNERIA INFORMATICA,first-class continuations; continuations; call/cc; compilers; scheme; programming languages; Java virtual machine; Java
INGEGNERIA ENERGETICA,micro-cogeneration; TPV system; receiver prism; thermal performances; temperature mapping
INGEGNERIA INFORMATICA,grasp; pose; real time; virtual; hand; 3D
INGEGNERIA MECCANICA,supply chain configuration; capabilities; relevant performance items
INGEGNERIA NUCLEARE,integrated deterministic and probabilistic safety analysis; dynamic scenario post-processing; self-organizing map; Manhattan distance; local fusion; ensemble
INGEGNERIA AERONAUTICA,aeroelasticity; contra-rotating open rotor; transonic flows; full potential; flutter
GESTIONE DEL COSTRUITO,facility condition assessment; property management; facility management; maintenance; due diligence
INGEGNERIA INFORMATICA,virtual reality; client-server; virtual tour; photo 360
INGEGNERIA MECCANICA,numerical model; composite sandwich materials; impact damage; thermographic analysis
INTERIOR DESIGN,brand; packaging; food; food culture; marketing
INGEGNERIA CIVILE,numerical analysis; disconnected piled rafts; settlements reducers; eccentric loads
INGEGNERIA GESTIONALE,business schools; MBA ranking; data envelopment analysis (DEA); higher education performance; efficiency
INGEGNERIA ELETTRICA,power system stabilizer; electro-mechanical oscillations; maximizing the damping
INGEGNERIA AERONAUTICA,adaptive optics; electromagnetics; control of structures
INGEGNERIA ENERGETICA,fouling; OpenFOAM; compressor blade fouling; particle deposition; mesh motion; particle laden flow
INGEGNERIA ELETTRONICA,multichannel emulator; emulation; radiation detectors; programmable; two-dimensional representation; energy statistics; hit position; time emission statistics; pulse shape; FPGA; Zynq; Kintex; Linux; medical imaging; gamma camera
DESIGN DEL PRODOTTO PER L'INNOVAZIONE,digital fabrication; 3D printing; memory; customization
INGEGNERIA AERONAUTICA,impact; bird surrogate; PERMA-GELÂ®; aluminium; rigid target; compliant target
INGEGNERIA SPAZIALE,hexapod; posture control; attitude control; stability margin; sloping terrain
INGEGNERIA CIVILE - CIVIL ENGINEERING,cold mix asphalt recycling; foamed bitumen; creep
INGEGNERIA DEI SISTEMI EDILIZI,Africa; Kenya; Nairobi; comfort; slum; upgrading; raw materials; climate; environmental impact
INGEGNERIA CHIMICA,sedimentation; thermophoresis; convection; microscopy; light scattering
INGEGNERIA INFORMATICA,cryptography; side channel Attacks; differential power analysis; masking isw
INGEGNERIA INFORMATICA,cyber-physical systems; wireless; bluetooth; stm32; fault; self-adaptive
INGEGNERIA BIOMEDICA,artificial retina; silk; organic bioelectronics; photodetector
INGEGNERIA DEI SISTEMI EDILIZI,OHSMS; employer; general contractor; OHSAS 18001
INGEGNERIA DEI SISTEMI EDILIZI,maintenance; risk management interference; building information modelling; construction
INGEGNERIA ENERGETICA,LNG; cryogenic; energy saving
ARCHITETTURA,street design; creative public space
INGEGNERIA DELLE TELECOMUNICAZIONI,VSN; energy analysis; feature; local; global; BoVW; IoT
INGEGNERIA CHIMICA,blend characterization; modeling and simulation; Mosaic
INGEGNERIA INFORMATICA,connectome; brain; visualization; intrinsic geometry
GESTIONE DEL COSTRUITO,market value; old age home; multiple linear regression; discounted cash flow; dimensional parameters
INGEGNERIA GESTIONALE,lean production; SMED; 5S; value stream mapping; seven wastes; five principles of lean thinking
MATERIALS ENGINEERING AND NANOTECHNOLOGY,diodes; silicon; X rays; dosimetry; failure
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,LCA; temporary buildings; green building
MATERIALS ENGINEERING AND NANOTECHNOLOGY,advanced oxidation processes; titanium dioxide; plasma electrolytic oxidation
INGEGNERIA ENERGETICA,upscaling; heterogeneous reservoirs; numerical methods; permeability; equivalent permeability
INGEGNERIA ENERGETICA,mesocombustion; swirl flows; flame shape and stability; combustion efficiency; PIV
INGEGNERIA SPAZIALE,methane hydrates; laser ignition; combustion; dissociation; schlieren
INGEGNERIA MECCANICA,OSH; OSH interventions; OSH mechanisms; contextual factors; drivers and barriers
INGEGNERIA DELL'AUTOMAZIONE,turbomachinery; centrifugal compressor; compressor map; machine learning algorithm; performance map estimation
INGEGNERIA DELL'AUTOMAZIONE,data acquisition; extended Kalman filter; CAN BUS; state and parameter estimation; modelling and simulation technology
INGEGNERIA BIOMEDICA,polyplexes; polyplex; DNA; polymer; polyethylenimine; PEI; gene delivery; gene therapy; protein corona
INGEGNERIA GESTIONALE,women; gender; diversity; CEO; board of directors; top management team; delegation; decision authority
INGEGNERIA AERONAUTICA,traffic barriers; Ls-Dyna; performance analysis
INGEGNERIA MECCANICA,SMAs; linear actuator; pin puller; Nitinol
INGEGNERIA MATEMATICA,Black-Cox; NIG; counterparty risk; risk; counterparty; BVA; CVA; DVA; Basel
INGEGNERIA INFORMATICA,online search; scientific literature; search engine; impact factor; h-index; research habits
PRODUCT SERVICE SYSTEM DESIGN,future; time; environment; sustainability
INGEGNERIA AERONAUTICA,hybrid rocket engines; entrainment; liquid film; two-phase flow; CFD; OpenFOAM
MATERIALS ENGINEERING AND NANOTECHNOLOGY - INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE,solar thermal storage; molten salts
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),strategic design; integrated communication; digital evolution; strategic model; communication agency
INGEGNERIA BIOMEDICA,sorbent system; dialysis; adsorbent materials
INGEGNERIA BIOMEDICA,hybrid scaffold; tissue engineering; biocompatibility; vascular; decellularization; extracellular matrix; ECM; silk fibroin
INTERIOR DESIGN,social housing; housing services; supplementary recidence services; spaces compatible services
INGEGNERIA AERONAUTICA,bend twist coupling; wind turbine wake; turbulent wake; hot wire anemometry; individual pitch control; load reduction techniques; damage equivalent loads; gain scheduling IPC; ADC
INGEGNERIA BIOMEDICA,KPI model; key performance indicators; health technology assessment; HTA; hospital based health technology assessment; HB-HTA
INGEGNERIA CIVILE,rack storage systems; drive-in; drive-through
INGEGNERIA CIVILE - CIVIL ENGINEERING,CFD; immersed boundary; dom italia; Expo; wind load; wind
INGEGNERIA CHIMICA,lignin; separation; characterizations; valorization; possible applications; adhesives
INGEGNERIA GESTIONALE,family business; family control; organizational design; governance; project stima
INGEGNERIA DELLE TELECOMUNICAZIONI,SAR; back-projection; sub-apertures
INGEGNERIA AERONAUTICA,flight testing; automatic tests; aerodynamic performance; UAV; ArduPilot Mega
INGEGNERIA DELLE TELECOMUNICAZIONI,deep learning; music structure analysis; music segmentation; deep belief network; music information retrieval
INGEGNERIA ENERGETICA,organic Rankine cycle (ORC); semi-empirical model; scroll expander; non-adiabatic behavior
INGEGNERIA BIOMEDICA,forced oscillation technique; lung function; pediatric respiratory diseases
INGEGNERIA ENERGETICA,premixed charge compression ignition (PCCI); CCM (chemistry coordinate mapping); detailed kinetics; mixing; turbulence; spray
INGEGNERIA MECCANICA,vertical axis wind turbine; OpenFOAM; computational fluid dynamics; RANS/LES hybrid models; DLRM; moving mesh; arbitrary mesh interface
INGEGNERIA BIOMEDICA,fatigue test; polymeric heart valve; test bench
INGEGNERIA ELETTRICA,differential lines; geometrical imbalance; termination imbalance; mode conversion; weak imbalance
INGEGNERIA DEI SISTEMI EDILIZI,ZEB; evaluation methodology; energy efficiency
INGEGNERIA BIOMEDICA,newborn; monitoring system; mHealth; wearable biomedical system; WBS; app
INGEGNERIA CHIMICA,polyesters; ROP; TBD; DBU; valerolactone; decalactone; dodecalactone; macromonomers; drug delivery; nanoparticles; copolymers
INGEGNERIA ELETTRICA,reliability; two parameter weibull model; parameter estimation; confidence bounds; simulation approach
INGEGNERIA ENERGETICA,Diesel spray; KHRT breakup; engine combustion network; fuel jet
INGEGNERIA BIOMEDICA,ventricular assist device (VAD); pediatric and pneumatic VAD; fluid structure interaction
INGEGNERIA ENERGETICA,energetic diagnosis; energy-audit; HVAC; energy efficiency
DESIGN & ENGINEERING,3D paper; sustainability; composite; 3D printing; fusion deposition modeling; FDM; cellulose
INGEGNERIA DELL'AUTOMAZIONE,server; potenza termica; potenza di calcolo; data centers
INGEGNERIA FISICA,nanostructuring; SiGe alloys; Ge-deformation
INGEGNERIA ELETTRICA,life cycle planning; battery energy storage system; isolated wind solar diesel microgrid; sequential Monte Carlo simulation
DESIGN & ENGINEERING,dynamic product
DESIGN DELLA COMUNICAZIONE,digital fabrication; makers; type; printmaking
INGEGNERIA ELETTRICA,cascade multilevel converter; phase shifted PWM; small signal model; stability; reactive power compensation; voltage regulation; disturbance rejection
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,snow water equivalent; SAR; water management; exogenous information; model-free
INGEGNERIA MECCANICA,simulation lifecycle management; product lifecycle management; systems engineering; simulation; CAE; EBOM
INGEGNERIA INFORMATICA,api tracing; Windows; native api
INGEGNERIA DEI SISTEMI EDILIZI,conservation; cultural heritage; historical building; seismic risk; cultural heritage; Byzantine church; Cattolica di Stilo; finite element analysis
INGEGNERIA MECCANICA,material constitutive model; FEM; Johnson-Cook model; Inconel 718; orthogonal cutting; pressure dependence; anisotropy
INGEGNERIA GESTIONALE,risk management; higher education; university
INGEGNERIA CHIMICA,electronic nose; indoor air quality
INGEGNERIA ELETTRICA,micro grid; electric vehicle; economic; optimization; grid connected; isolate island
INGEGNERIA AERONAUTICA,propulsion; detonation; calibration; engine; RDWE; injection
INGEGNERIA DEI SISTEMI EDILIZI,BIM; database; site equipment; equipment productivity
INGEGNERIA CHIMICA,drug delivery; siRNA; self-assembling; ring opening polymerization; RAFT
INGEGNERIA BIOMEDICA,swim; wearable devices; sport; sport technologies
